# problem=TPV1
# author=Kase (ka)
# date=2008/10/28
 # code=dipping (dp)
# code_version
# element_size=  0 m
# time_step= .010 s
# num_time_steps=1500
# location=-1.0 km off fault,   .0 km along strike and   .0   km down-dip from fault top edge
# Column #1 = Time (s)
# Column #2 = horizontal displacement (m)
# Column #3 = horizontal velocity (m/s)
# Column #4 = vertical displacement (m)
# Column #5 = vertical velocity (m/s)
# Column #6 = normal displacement (m)
# Column #7 = normal velocity (m/s)
#          t  h-disp  h-vel  v-disp  v-vel  n-disp  n-vel
.0000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.7000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.8000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.9000000000000E-01   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1500000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1600000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1700000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1800000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.1900000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2500000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2600000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2700000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2800000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.2900000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3500000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3600000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3700000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3800000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.3900000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4500000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4600000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4700000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4800000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.4900000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5500000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5600000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5700000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5800000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.5900000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6500000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6600000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6700000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6800000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.6900000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.7000000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.7100000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.7200000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.7300000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
.7400000000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
